code	公司名稱	收市價	變化	% 變化	成交量
2688.HK	新奧能源	107.100	0.100	+0.09%	1,724,218
0883.HK	中國海洋石油	9.810	-0.010	-0.10%	56,627,363
1093.HK	石藥集團	8.290	0.020	+0.24%	27,293,730
0101.HK	恆隆地產	14.720	0.120	+0.82%	1,895,468
1109.HK	華潤置地	34.450	0.450	+1.32%	9,966,411
0002.HK	中電控股	56.100	0.750	+1.36%	2,780,199
0241.HK	阿里健康	7.460	0.110	+1.50%	93,637,249
1398.HK	工商銀行	3.880	0.060	+1.57%	137,608,412
0003.HK	香港中華煤氣	7.400	0.120	+1.65%	14,280,055
0669.HK	創科實業	89.100	1.500	+1.71%	3,858,741
1038.HK	長江基建集團	40.950	0.750	+1.87%	1,298,900
2269.HK	藥明生物	52.350	1.100	+2.15%	20,762,928
2628.HK	中國人壽	12.480	0.280	+2.30%	41,757,257
0012.HK	恆基地產	26.500	0.600	+2.32%	1,758,792
0027.HK	銀河娛樂	51.700	1.200	+2.38%	9,187,389
1044.HK	恆安國際	41.300	1.000	+2.48%	2,355,421
6690.HK	海爾智家	27.150	0.700	+2.65%	11,586,802
0017.HK	新世界發展	21.950	0.600	+2.81%	4,577,981
0267.HK	中信股份	8.040	0.220	+2.81%	9,974,245
1209.HK	華潤萬象生活	38.600	1.150	+3.07%	865,204
0992.HK	聯想集團	6.450	0.200	+3.20%	26,186,879
9633.HK	農夫山泉	44.400	1.550	+3.62%	4,322,340
9988.HK	阿里巴巴－ＳＷ	87.900	3.450	+4.09%	53,772,623
6098.HK	碧桂園服務	19.340	0.760	+4.09%	31,636,387
1810.HK	小米集團－Ｗ	11.020	0.460	+4.36%	64,839,836
2020.HK	安踏體育	102.400	4.800	+4.92%	15,876,531
2319.HK	蒙牛乳業	35.750	1.950	+5.77%	14,365,784
9618.HK	京東集團－ＳＷ	232.600	13.600	+6.21%	6,246,154
3690.HK	美團－Ｗ	186.200	12.000	+6.89%	35,630,667
2331.HK	李寧	67.600	4.650	+7.39%	29,324,745
